X,Y,RECORRIDO,CENTROIDE,CRUCE,ÃREA
-58.486102363817,-34.648337836966,R041,804.000000,TANDIL@WHITE,Barrios
-58.4861824151688,-34.6499627293105,R041,805.000000,REMEDIOS@HOMERO,Barrios
-58.4750453244676,-34.6336599085961,R042,806.000000,"FALCON, RAMON L.,CNEL.@AZUL",Barrios
-58.4757268864597,-34.6349172732084,R042,807.000000,RAFAELA@DOLORES,Barrios
-58.4759233775313,-34.637132958073,R042,808.000000,"BONIFACIO, JOSE@BARADERO",Barrios
-58.4767783764748,-34.6383760000826,R042,809.000000,"RODO, JOSE E.@ACOSTA, MARIANO",Barrios
-58.4769557344703,-34.6401111052412,R042,810.000000,TANDIL@MARTINEZ CASTRO,Barrios
-58.4813660465759,-34.6312100096982,R043,811.000000,BACACAY@BAHIA BLANCA,Barrios
-58.4804087074835,-34.6298633478044,R043,812.000000,"BOGOTA@GONZALEZ, JOAQUIN V.",Barrios
-58.4803694925463,-34.6273420715156,R043,813.000000,"ARANGUREN, JUAN F., Dr.@SAN NICOLAS",Barrios
-58.4797543715665,-34.6260704958167,R043,814.000000,"MORON@LAMARCA, EMILIO",Barrios
-58.4791131126912,-34.6247894133846,R043,815.000000,"VALLESE, FELIPE@CONCORDIA",Barrios
-58.4622244403247,-34.620993272576,R044,820.000000,MENDEZ DE ANDES@GRANADEROS,Barrios
-58.4627941905081,-34.6222124708607,R044,819.000000,"ARANGUREN, JUAN F., Dr.@GAVILAN",Barrios
-58.464191973464,-34.6252815808548,R044,818.000000,BOGOTA@FRAY CAYETANO RODRIGUEZ,Barrios
-58.4651765224438,-34.6268285190666,R044,817.000000,"BACACAY@ARTIGAS, JOSE GERVASIO DE,",Barrios
-58.4660752293373,-34.6283881988728,R044,816.000000,YERBAL@BOLIVIA,Barrios
-58.4582491878414,-34.6409571658224,R045,821.000000,"RECUERO, CASIMIRO, Tte. Cnel.@ARROTEA",Barrios
-58.457827097342,-34.6388009540229,R045,822.000000,PRIMERA JUNTA@PEDERNERA,Barrios
-58.4579734089423,-34.6371371039473,R045,823.000000,"FERNANDEZ MORENO, BALDOMERO@RIVERA INDARTE",Barrios
-58.457865552352,-34.6354196497822,R045,824.000000,"LAFERRERE, GREGORIO de@MEMBRILLAR",Barrios
-58.457233624842,-34.6335953381735,R045,825.000000,"BILBAO, FRANCISCO@BONORINO, ESTEBAN, Cnel.",Barrios
-58.4777711956198,-34.6137696914077,R046,829.000000,"DIAZ, CESAR, GRAL.@TERRADA",Barrios
-58.4772596351689,-34.6120713829092,R046,828.000000,"MAGARIÃƒÂOS CERVANTES, A.@CONDARCO",Barrios
-58.4768257851346,-34.6104145421495,R046,827.000000,CAMARONES@BOLIVIA,Barrios
-58.478711741672,-34.6171230015522,R046,830.000000,"BELAUSTEGUI, LUIS, Dr.@ARGERICH",Barrios
-58.4763238051614,-34.6087222132433,R046,826.000000,"SAN BLAS@ARTIGAS, JOSE GERVASIO DE,",Barrios
-58.466633918759,-34.6150199702615,R047,835.000000,"VIALE, LUIS@GAVILAN",Barrios
-58.4662604896753,-34.6133943593586,R047,834.000000,GALICIA@BOYACA,Barrios
-58.4657447356858,-34.61169022775,R047,833.000000,"TRES ARROYOS@LAMAS, ANDRES",Barrios
-58.4651868529558,-34.6075747367897,R047,831.000000,"DIAZ, CESAR, GRAL.@SANCHEZ",Barrios
-58.4651317281127,-34.6099411633149,R047,832.000000,"BELAUSTEGUI, LUIS, Dr.@TERRERO",Barrios
-58.4573283324448,-34.6130368860465,R048,840.000000,"GAONA@SEGUI, F. J., ALTE.",Barrios
-58.4567656680196,-34.6112135537995,R048,839.000000,"FIGUEROA, APOLINARIO, Cnel.@OROÃƒÂO, NICASIO",Barrios
-58.4563533432581,-34.6096943228001,R048,838.000000,"VIALE, LUIS@FRAGATA Pres. SARMIENTO",Barrios
-58.4556703252637,-34.6083721242642,R048,837.000000,GALICIA@PAYSANDU,Barrios
-58.4554423012637,-34.6064790828688,R048,836.000000,TRES ARROYOS@ESPINOSA,Barrios
-58.4465912565851,-34.6175544827717,R049,845.000000,"AVELLANEDA@GAINZA, MARTIN DE, GRAL.",Barrios
-58.4452285966511,-34.6156242265314,R049,844.000000,"ARANGUREN, JUAN F., Dr.@REPETTO, NICOLAS, DR.",Barrios
-58.4441644019137,-34.6140371812551,R049,843.000000,MENDEZ DE ANDES@ROJAS,Barrios
-58.4432797586181,-34.6123029673246,R049,842.000000,"VALLESE, FELIPE@COLPAYO",Barrios
-58.4418817939992,-34.6105031640399,R049,841.000000,"ARENGREEN@VIRASORO, VALENTIN",Barrios
-58.4362266412392,-34.6245599603615,R050,850.000000,VALLE@RIGLOS,Barrios
-58.4346576327648,-34.6230470929648,R050,849.000000,"ALBERDI, JUAN BAUTISTA@MORENO, JOSE MARIA",Barrios
-58.4337897582278,-34.6211549230125,R050,848.000000,FORMOSA@BEAUCHEF,Barrios
-58.4329853650342,-34.6200463107605,R050,847.000000,GUAYAQUIL@VIEL,Barrios
-58.4315425125549,-34.6187073830362,R050,846.000000,ROSARIO@DOBLAS,Barrios
-58.4378162127119,-34.6381418723837,R051,855.000000,BALBASTRO@MITRE EMILIO,Barrios
-58.4366527310238,-34.6367060903747,R051,854.000000,"CACHIMAYO@DIAZ, AVELINO",Barrios
-58.4354738358554,-34.6353643100009,R051,853.000000,SANTANDER@PICHEUTA,Barrios
-58.4347788748643,-34.6324151129082,R051,852.000000,RIGLOS@SALAS,Barrios
-58.4336593682248,-34.6315679218789,R051,851.000000,ESTRADA@IGUALDAD,Barrios
-58.4238331841725,-34.627930135492,R052,859.000000,"COCHABAMBA@MARMOL, JOSE",Barrios
-58.4228421267991,-34.6264263845227,R052,858.000000,SAN JUAN@TREINTA Y TRES ORIENTALES,Barrios
-58.4218605464813,-34.6247807223359,R052,857.000000,"CALVO, CARLOS@BOCAYUVA, QUINTINO",Barrios
-58.4205223768848,-34.6228284390011,R052,856.000000,ESTADOS UNIDOS@CASTRO,Barrios
-58.475797278194,-34.6821378481965,R053,865.000000,"DE LA TORRE, LISANDRO@UNANUE",Barrios
-58.4761710984827,-34.6810192579666,R053,864.000000,"BATLLE Y ORDONEZ, JOSE P.T@HUDSON",Barrios
-58.4767274703516,-34.6796333856323,R053,863.000000,"SAYOS@RUCCI, JOSE IGNACIO",Barrios
-58.4765645590653,-34.6775965921071,R053,862.000000,"GALLO, DELFIN@LEGUIZAMON, MARTINIANO",Barrios
-58.4764733920931,-34.6763409362068,R053,861.000000,SOMELLERA@MURGUIONDO,Barrios
-58.3762697974967,-34.6380108231769,R054,870.000000,"BRANDSEN@HORNOS, Gral.",Barrios
-58.3738671067088,-34.636112910154,R054,869.000000,"VALLE, ARISTOBULO DEL@ISABEL LA CATOLICA",Barrios
-58.3730844465313,-34.6349713854137,R054,868.000000,"VILLAFAÃƒÂE, WENCESLAO@JOVELLANOS, GASPAR M. de",Barrios
-58.3722868306286,-34.6338919588595,R054,867.000000,ARZOBISPO ESPINOSA@AZARA,Barrios
-58.3712902873908,-34.6328140683474,R054,866.000000,GUALEGUAY@RUY DIAZ DE GUZMAN,Barrios
-58.4139306611692,-34.5797304704091,R055,871.000000,LAFINUR@CABELLO,Barrios
-58.4106369724763,-34.5783810260129,R055,872.000000,"UGARTECHE@SEGUI, JUAN FRANCISCO",Barrios
-58.4070505535635,-34.5771935486149,R055,873.000000,CAVIA@CASTEX,Barrios
-58.404872223837,-34.5765502554734,R055,874.000000,"SALGUERO, JERONIMO@FIGUEROA ALCORTA, PRES.",Barrios
-58.4029283617528,-34.5766925641913,R055,875.000000,"SAN MARTIN DE TOURS@CORONADO, MARTIN",Barrios
-58.4496642669401,-34.6011900225256,R056,880.000000,"BELAUSTEGUI, LUIS, Dr.@VIRASORO, VALENTIN",Barrios
-58.4476452341248,-34.6016869914762,R056,879.000000,TRES ARROYOS@OLAYA,Barrios
-58.4456976524447,-34.6021031599399,R056,878.000000,GALICIA@HIDALGO,Barrios
-58.4439776819758,-34.6022731264074,R056,877.000000,"VIALE, LUIS@ACOYTE",Barrios
-58.4405135996373,-34.602044508855,R056,876.000000,ARAOZ@PADILLA,Barrios
-58.424789991611,-34.6302121515658,R052,860.000000,TARIJA@MUÃƒÂIZ,Barrios
-58.3576808067114,-34.6193850541142,R001,340.000000,"CALABRIA@RAWSON DE DELLEPIANE, ELVIRA",Macrocentro
-58.361932946058,-34.6174997019247,R001,515.000000,"MANSO JUANA@VERA PENALOZA, ROSARIO",Macrocentro
