año,mes,punto_cruce,punto_referencia,cantidad_ciclistas
2011,Diciembre,Virrey Liniers y C.Calvo,PB6,1141
2011,Diciembre,Billin-ghurst y Peron,PB10,2541
2011,Diciembre,Del Liber-tador y Montevideo,PB11,2109
2011,Diciembre,Corredor Norte y Casares,PB12,2875
2011,Diciembre,EEUU y 33 Orientales,PB32,875
2011,Diciembre,F. Alcorta y Derecho,PB36,1440
2011,Diciembre,Montev y Peron,PB37,1081
2011,Diciembre,Potosi y Rawson,PB39,761
2011,Diciembre,J. Alvarez y Padilla,PB40,478
2011,Diciembre,Chile y Tacuari,PB44,871
2011,Diciembre,Serrano y Loyola,PB45,637
2011,Diciembre,Gorriti y G. Cruz,PB46,1435
2011,Diciembre,Cnel. Diaz y Mansilla,PB48,313
2011,Diciembre,Arenales y Montevideo,PB52,469
2012,Enero,Virrey Cevallos y Chile,PB1,1145
2012,Enero,Azopar-do y Mexico,PB2,507
2012,Enero,Rincon y Carlos Calvo,PB3,1067
2012,Enero,Virrey Liniers y C.Calvo,PB6,1093
2012,Enero,Billin-ghurst y Peron,PB10,1981
2012,Enero,Del Liber-tador y Montevideo,PB11,1673
2012,Enero,Corredor Norte y Casares,PB12,2906
2012,Enero,EEUU y 33 Orientales,PB32,751
2012,Enero,F. Alcorta y Derecho,PB36,834
2012,Enero,Montev y Peron,PB37,1043
2012,Enero,Potosi y Rawson,PB39,745
2012,Enero,J. Alvarez y Padilla,PB40,383
2012,Enero,Chile y Tacuari,PB44,680
2012,Enero,Serrano y Loyola,PB45,890
2012,Enero,Gorriti y G. Cruz,PB46,1615
2012,Enero,Cnel. Diaz y Mansilla,PB48,719
2012,Enero,11 de Sep y Monroe,PB49,401
2012,Enero,Arenales y Montevideo,PB52,459
2012,Febrero,Virrey Cevallos y Chile,PB1,884
2012,Febrero,Azopar-do y Mexico,PB2,547
2012,Febrero,Rincon y Carlos Calvo,PB3,1546
2012,Febrero,Virrey Liniers y C.Calvo,PB6,982
2012,Febrero,Billin-ghurst y Peron,PB10,2008
2012,Febrero,Del Liber-tador y Montevideo,PB11,1222
2012,Febrero,Corredor Norte y Casares,PB12,1839
2012,Febrero,EEUU y 33 Orientales,PB32,681
2012,Febrero,F. Alcorta y Derecho,PB36,1436
2012,Febrero,Montev y Peron,PB37,1080
2012,Febrero,Potosi y Rawson,PB39,576
2012,Febrero,J. Alvarez y Padilla,PB40,409
2012,Febrero,Chile y Tacuari,PB44,794
2012,Febrero,Serrano y Loyola,PB45,1057
2012,Febrero,Gorriti y G. Cruz,PB46,1634
2012,Febrero,Cnel. Diaz y Mansilla,PB48,1047
2012,Febrero,11 de Sep y Monroe,PB49,445
2012,Febrero,Arenales y Montevideo,PB52,446
2012,Marzo,Virrey Cevallos y Chile,PB1,1744
2012,Marzo,Azopar-do y Mexico,PB2,783
2012,Marzo,Rincon y Carlos Calvo,PB3,1390
2012,Marzo,Virrey Liniers y C.Calvo,PB6,867
2012,Marzo,Billin-ghurst y Peron,PB10,2742
2012,Marzo,Del Liber-tador y Montevideo,PB11,1912
2012,Marzo,Corredor Norte y Casares,PB12,3198
2012,Marzo,EEUU y 33 Orientales,PB32,1138
2012,Marzo,F. Alcorta y Derecho,PB36,1831
2012,Marzo,Montev y Peron,PB37,1433
2012,Marzo,Potosi y Rawson,PB39,826
2012,Marzo,J. Alvarez y Padilla,PB40,663
2012,Marzo,Chile y Tacuari,PB44,944
2012,Marzo,Serrano y Loyola,PB45,977
2012,Marzo,Gorriti y G. Cruz,PB46,1744
2012,Marzo,Cnel. Diaz y Mansilla,PB48,1314
2012,Marzo,11 de Sep y Monroe,PB49,545
2012,Marzo,Arenales y Montevideo,PB52,454
2012,Abril,Virrey Cevallos y Chile,PB1,1857
2012,Abril,Azopar-do y Mexico,PB2,612
2012,Abril,Rincon y Carlos Calvo,PB3,1635
2012,Abril,Virrey Liniers y C.Calvo,PB6,1130
2012,Abril,Billin-ghurst y Peron,PB10,3023
2012,Abril,Del Liber-tador y Montevideo,PB11,2173
2012,Abril,Corredor Norte y Casares,PB12,2803
2012,Abril,EEUU y 33 Orientales,PB32,1126
2012,Abril,F. Alcorta y Derecho,PB36,1745
2012,Abril,Montev y Peron,PB37,2047
2012,Abril,Potosi y Rawson,PB39,858
2012,Abril,J. Alvarez y Padilla,PB40,793
2012,Abril,Chile y Tacuari,PB44,871
2012,Abril,Serrano y Loyola,PB45,1066
2012,Abril,Gorriti y G. Cruz,PB46,2124
2012,Abril,Cnel. Diaz y Mansilla,PB48,1420
2012,Abril,11 de Sep y Monroe,PB49,750
2012,Abril,Arenales y Montevideo,PB52,431
2012,Mayo,Virrey Cevallos y Chile,PB1,1712
2012,Mayo,Azopar-do y Mexico,PB2,614
2012,Mayo,Rincon y Carlos Calvo,PB3,1552
2012,Mayo,Virrey Liniers y C.Calvo,PB6,1332
2012,Mayo,Billin-ghurst y Peron,PB10,3305
2012,Mayo,Del Liber-tador y Montevideo,PB11,2388
2012,Mayo,Corredor Norte y Casares,PB12,2407
2012,Mayo,EEUU y 33 Orientales,PB32,936
2012,Mayo,F. Alcorta y Derecho,PB36,1907
2012,Mayo,Montev y Peron,PB37,2035
2012,Mayo,Potosi y Rawson,PB39,854
2012,Mayo,J. Alvarez y Padilla,PB40,628
2012,Mayo,Chile y Tacuari,PB44,975
2012,Mayo,Serrano y Loyola,PB45,913
2012,Mayo,Gorriti y G. Cruz,PB46,1903
2012,Mayo,Cnel. Diaz y Mansilla,PB48,1622
2012,Mayo,11 de Sep y Monroe,PB49,693
2012,Mayo,Arenales y Montevideo,PB52,413
2012,Junio,Virrey Cevallos y Chile,PB1,1721
2012,Junio,Azopar-do y Mexico,PB2,557
2012,Junio,Rincon y Carlos Calvo,PB3,1273
