centroide,cruce,año,turno,cantidad_ciclistas,tipo_relevamiento
516,MANSO JUANA & SANCHEZ DE THOMPSON MARIQUITA,2013,tarde,12,macrocentro
516,MANSO JUANA & SANCHEZ DE THOMPSON MARIQUITA,2014,mañana,32,macrocentro
516,MANSO JUANA & SANCHEZ DE THOMPSON MARIQUITA,2014,tarde,33,macrocentro
516,MANSO JUANA & SANCHEZ DE THOMPSON MARIQUITA,2015,mañana,26,macrocentro
516,MANSO JUANA & SANCHEZ DE THOMPSON MARIQUITA,2015,tarde,36,macrocentro
516,MANSO JUANA & SANCHEZ DE THOMPSON MARIQUITA,2016,mañana,14,macrocentro
516,MANSO JUANA & SANCHEZ DE THOMPSON MARIQUITA,2016,tarde,27,macrocentro
516,MANSO JUANA & SANCHEZ DE THOMPSON MARIQUITA,2017,mañana,13,macrocentro
516,MANSO JUANA & SANCHEZ DE THOMPSON MARIQUITA,2017,tarde,37,macrocentro
516,MANSO JUANA & SANCHEZ DE THOMPSON MARIQUITA,2018,mañana,16,macrocentro
516,MANSO JUANA & SANCHEZ DE THOMPSON MARIQUITA,2018,tarde,82,macrocentro
509,GRIERSON CECILIA & DEALESSI PIERINA,2013,mañana,52,macrocentro
509,GRIERSON CECILIA & DEALESSI PIERINA,2013,tarde,46,macrocentro
509,GRIERSON CECILIA & DEALESSI PIERINA,2014,mañana,37,macrocentro
509,GRIERSON CECILIA & DEALESSI PIERINA,2014,tarde,45,macrocentro
509,GRIERSON CECILIA & DEALESSI PIERINA,2015,mañana,54,macrocentro
509,GRIERSON CECILIA & DEALESSI PIERINA,2015,tarde,33,macrocentro
509,GRIERSON CECILIA & DEALESSI PIERINA,2016,mañana,34,macrocentro
509,GRIERSON CECILIA & DEALESSI PIERINA,2016,tarde,37,macrocentro
509,GRIERSON CECILIA & DEALESSI PIERINA,2017,mañana,35,macrocentro
509,GRIERSON CECILIA & DEALESSI PIERINA,2017,tarde,41,macrocentro
509,GRIERSON CECILIA & DEALESSI PIERINA,2018,mañana,48,macrocentro
509,GRIERSON CECILIA & DEALESSI PIERINA,2018,tarde,57,macrocentro
508,"MADERO, EDUARDO@CORDOBA",2013,mañana,21,macrocentro
508,"MADERO, EDUARDO@CORDOBA",2013,tarde,50,macrocentro
