,id,codigo,nomoficial,alt_izqini,alt_izqfin,alt_derini,alt_derfin,nomanter,nom_mapa,tipo_c,long,sentido,cod_sent,observa,bicisenda,lado_ciclo,recorrid_x,anio_construccion,tooltip_bi,red_jerarq,red_tp,COMUNA,COM_PAR,COM_IMPAR,BARRIO,BARRIO_PAR,BARRIO_IMP,geometry
832,13926,9010,INDEPENDENCIA AV.,1702,1800,1701,1799,,AV. INDEPENDENCIA,AVENIDA,126.05,CRECIENTE,1,,Carriles Preferenciales,,,,Carril preferencial,VÍA DISTRIBUIDORA PRINCIPAL,,1,1,1,,CONSTITUCION,MONSERRAT,"MULTILINESTRING ((-58.390329218823034 -34.618079511421044, -58.391414226225756 -34.61814367751118, -58.39170025904134 -34.61815807125222))"
833,13944,7065,"GONZALEZ, ELPIDIO",4102,4200,4101,4199,INDIO,ELPIDIO GONZALEZ,CALLE,120.84,CRECIENTE,1,,Ciclovías,,,2017.0,Ciclovía,VÍA LOCAL,,10,10,10,MONTE CASTRO,MONTE CASTRO,MONTE CASTRO,"MULTILINESTRING ((-58.495597551400216 -34.617468742367876, -58.496526348831864 -34.618241389955905))"
834,13947,12114,LINIERS VIRREY,538,600,537,599,LINIERS,VIRREY LINIERS,CALLE,121.17,DECRECIENTE,-1,corrección numeración 17-1,Ciclovías,Mano izquierda,Calle,20116720.0,Ciclovía,VÍA LOCAL,,5,5,5,ALMAGRO,ALMAGRO,ALMAGRO,"MULTILINESTRING ((-58.41420506715547 -34.61714869827551, -58.41409428427015 -34.61823711795465))"
835,13948,9010,INDEPENDENCIA AV.,1802,1900,1801,1899,,AV. INDEPENDENCIA,AVENIDA,137.99,CRECIENTE,1,,Carriles Preferenciales,,,,Carril preferencial,VÍA DISTRIBUIDORA PRINCIPAL,,3,3,3,,SAN CRISTOBAL,BALVANERA,"MULTILINESTRING ((-58.39170025904134 -34.61815807125222, -58.392031181508564 -34.61817481452804, -58.393005807705826 -34.618222634122056, -58.39320206124113 -34.61823302886591))"
836,13962,19046,RIVADAVIA AV.,4950,5000,4955,4999,PRIMERA JUNTA (parcial),AV. RIVADAVIA,AVENIDA,122.13,CRECIENTE,1,corrección numeración 7-2,Carriles Preferenciales,,,,Carril preferencial,VÍA DISTRIBUIDORA PRINCIPAL,,6,6,6,CABALLITO,CABALLITO,CABALLITO,"MULTILINESTRING ((-58.43528497897657 -34.617778959817656, -58.436458204996946 -34.61829979350908))"
837,13967,9010,INDEPENDENCIA AV.,1902,2000,1901,1999,,AV. INDEPENDENCIA,AVENIDA,119.2,CRECIENTE,1,,Carriles Preferenciales,,,,Carril preferencial,VÍA DISTRIBUIDORA PRINCIPAL,,3,3,3,,SAN CRISTOBAL,BALVANERA,"MULTILINESTRING ((-58.39320206124113 -34.61823302886591, -58.39449909056827 -34.61830165541696))"
838,13973,3258,CHIVILCOY,1702,1750,1701,1749,,CHIVILCOY,CALLE,67.81,DECRECIENTE,-1,,Ciclovías,,,2013.0,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,10,10,10,MONTE CASTRO,MONTE CASTRO,MONTE CASTRO,"MULTILINESTRING ((-58.494515287814366 -34.61832657006671, -58.49479818250505 -34.61810269173833, -58.495049141540946 -34.61790368052851))"
839,14013,9010,INDEPENDENCIA AV.,2102,2200,2101,2199,,AV. INDEPENDENCIA,AVENIDA,140.12,CRECIENTE,1,,Carriles Preferenciales,,,,Carril preferencial,VÍA DISTRIBUIDORA PRINCIPAL,,3,3,3,,SAN CRISTOBAL,BALVANERA,"MULTILINESTRING ((-58.39599280220958 -34.61838065867008, -58.397517522223716 -34.61846128009736))"
840,14043,21004,TACUARI,802,900,801,899,,TACUARI,CALLE,108.25,CRECIENTE,1,,Ciclovías,,,2016.0,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,1,1,1,CONSTITUCION,CONSTITUCION,CONSTITUCION,"MULTILINESTRING ((-58.37877679704246 -34.61754704780739, -58.37876500930625 -34.617747182937045, -58.378736022859904 -34.61835907171222, -58.3787315983354 -34.61852209879026))"
841,14045,9010,INDEPENDENCIA AV.,2202,2300,2201,2299,,AV. INDEPENDENCIA,AVENIDA,133.1,CRECIENTE,1,,Carriles Preferenciales,,,,Carril preferencial,VÍA DISTRIBUIDORA PRINCIPAL,,3,3,3,,SAN CRISTOBAL,BALVANERA,"MULTILINESTRING ((-58.397517522223716 -34.61846128009736, -58.39896583864911 -34.6185378280659))"
