centroide,cantidad_ciclistas,año,turno,barrios
287,20,2013-01-01,tarde,BARRACAS
287,8,2014-01-01,mañana,BARRACAS
287,25,2014-01-01,tarde,BARRACAS
287,12,2015-01-01,mañana,BARRACAS
287,30,2015-01-01,tarde,BARRACAS
287,14,2016-01-01,mañana,BARRACAS
287,35,2016-01-01,tarde,BARRACAS
287,15,2017-01-01,mañana,BARRACAS
287,46,2017-01-01,tarde,BARRACAS
288,39,2013-01-01,mañana,BARRACAS
288,62,2013-01-01,tarde,BARRACAS
288,32,2014-01-01,mañana,BARRACAS
288,63,2014-01-01,tarde,BARRACAS
288,32,2015-01-01,mañana,BARRACAS
288,34,2015-01-01,tarde,BARRACAS
288,42,2016-01-01,mañana,BARRACAS
288,48,2016-01-01,tarde,BARRACAS
288,29,2017-01-01,mañana,BARRACAS
288,22,2017-01-01,tarde,BARRACAS
288,21,2018-01-01,mañana,BARRACAS
288,51,2018-01-01,tarde,BARRACAS
314,10,2013-01-01,mañana,SAN TELMO
314,25,2013-01-01,tarde,SAN TELMO
314,29,2014-01-01,mañana,SAN TELMO
314,27,2014-01-01,tarde,SAN TELMO
314,24,2015-01-01,mañana,SAN TELMO
314,24,2015-01-01,tarde,SAN TELMO
314,26,2016-01-01,mañana,SAN TELMO
314,29,2016-01-01,tarde,SAN TELMO
314,28,2017-01-01,mañana,SAN TELMO
314,23,2017-01-01,tarde,SAN TELMO
314,24,2018-01-01,mañana,SAN TELMO
314,56,2018-01-01,tarde,SAN TELMO
302,16,2013-01-01,mañana,SAN TELMO
302,17,2013-01-01,tarde,SAN TELMO
302,6,2014-01-01,mañana,SAN TELMO
302,18,2014-01-01,tarde,SAN TELMO
302,4,2015-01-01,mañana,SAN TELMO
302,8,2015-01-01,tarde,SAN TELMO
302,3,2016-01-01,mañana,SAN TELMO
302,4,2016-01-01,tarde,SAN TELMO
302,7,2017-01-01,mañana,SAN TELMO
302,4,2017-01-01,tarde,SAN TELMO
302,9,2018-01-01,mañana,SAN TELMO
302,12,2018-01-01,tarde,SAN TELMO
301,9,2013-01-01,mañana,SAN TELMO
301,13,2013-01-01,tarde,SAN TELMO
301,9,2014-01-01,mañana,SAN TELMO
301,0,2014-01-01,tarde,SAN TELMO
301,12,2015-01-01,mañana,SAN TELMO
301,10,2015-01-01,tarde,SAN TELMO
301,2,2016-01-01,mañana,SAN TELMO
301,10,2016-01-01,tarde,SAN TELMO
301,8,2017-01-01,mañana,SAN TELMO
301,6,2017-01-01,tarde,SAN TELMO
313,9,2013-01-01,mañana,SAN TELMO
313,16,2013-01-01,tarde,SAN TELMO
313,19,2014-01-01,mañana,SAN TELMO
313,6,2014-01-01,tarde,SAN TELMO
313,11,2015-01-01,mañana,SAN TELMO
313,13,2015-01-01,tarde,SAN TELMO
313,12,2016-01-01,mañana,SAN TELMO
313,12,2016-01-01,tarde,SAN TELMO
313,10,2017-01-01,mañana,SAN TELMO
313,5,2017-01-01,tarde,SAN TELMO
295,34,2013-01-01,mañana,SAN TELMO
295,13,2013-01-01,tarde,SAN TELMO
295,31,2014-01-01,mañana,SAN TELMO
295,22,2014-01-01,tarde,SAN TELMO
295,25,2015-01-01,mañana,SAN TELMO
295,29,2015-01-01,tarde,SAN TELMO
295,8,2016-01-01,mañana,SAN TELMO
295,31,2016-01-01,tarde,SAN TELMO
295,30,2017-01-01,mañana,SAN TELMO
295,16,2017-01-01,tarde,SAN TELMO
330,12,2013-01-01,mañana,MONSERRAT
330,68,2013-01-01,tarde,MONSERRAT
330,13,2014-01-01,mañana,MONSERRAT
330,31,2014-01-01,tarde,MONSERRAT
330,17,2015-01-01,mañana,MONSERRAT
330,27,2015-01-01,tarde,MONSERRAT
330,27,2016-01-01,mañana,MONSERRAT
330,25,2016-01-01,tarde,MONSERRAT
330,38,2017-01-01,mañana,MONSERRAT
330,33,2017-01-01,tarde,MONSERRAT
320,52,2013-01-01,mañana,MONSERRAT
320,93,2013-01-01,tarde,MONSERRAT
320,59,2014-01-01,mañana,MONSERRAT
320,80,2014-01-01,tarde,MONSERRAT
320,65,2015-01-01,mañana,MONSERRAT
320,32,2015-01-01,tarde,MONSERRAT
320,41,2016-01-01,mañana,MONSERRAT
320,55,2016-01-01,tarde,MONSERRAT
320,64,2017-01-01,mañana,MONSERRAT
320,75,2017-01-01,tarde,MONSERRAT
320,71,2018-01-01,mañana,MONSERRAT
320,51,2018-01-01,tarde,MONSERRAT
318,18,2013-01-01,mañana,MONSERRAT
318,21,2013-01-01,tarde,MONSERRAT
318,13,2014-01-01,mañana,MONSERRAT
318,13,2014-01-01,tarde,MONSERRAT
318,7,2015-01-01,mañana,MONSERRAT
318,10,2015-01-01,tarde,MONSERRAT
318,6,2016-01-01,mañana,MONSERRAT
318,13,2016-01-01,tarde,MONSERRAT
318,12,2017-01-01,mañana,MONSERRAT
318,11,2017-01-01,tarde,MONSERRAT
318,5,2018-01-01,mañana,MONSERRAT
318,18,2018-01-01,tarde,MONSERRAT
317,26,2013-01-01,mañana,MONSERRAT
317,18,2013-01-01,tarde,MONSERRAT
317,11,2014-01-01,mañana,MONSERRAT
317,8,2014-01-01,tarde,MONSERRAT
317,20,2015-01-01,mañana,MONSERRAT
317,14,2015-01-01,tarde,MONSERRAT
317,21,2016-01-01,mañana,MONSERRAT
317,7,2016-01-01,tarde,MONSERRAT
317,25,2017-01-01,mañana,MONSERRAT
317,7,2017-01-01,tarde,MONSERRAT
317,9,2018-01-01,mañana,MONSERRAT
317,13,2018-01-01,tarde,MONSERRAT
312,33,2013-01-01,mañana,MONSERRAT
312,13,2013-01-01,tarde,MONSERRAT
312,32,2014-01-01,mañana,MONSERRAT
312,6,2014-01-01,tarde,MONSERRAT
312,14,2015-01-01,mañana,MONSERRAT
312,15,2015-01-01,tarde,MONSERRAT
312,11,2016-01-01,mañana,MONSERRAT
312,19,2016-01-01,tarde,MONSERRAT
312,17,2017-01-01,mañana,MONSERRAT
312,33,2017-01-01,tarde,MONSERRAT
333,20,2013-01-01,mañana,SAN NICOLAS
333,68,2013-01-01,tarde,SAN NICOLAS
333,27,2014-01-01,mañana,SAN NICOLAS
333,71,2014-01-01,tarde,SAN NICOLAS
333,37,2015-01-01,mañana,SAN NICOLAS
333,50,2015-01-01,tarde,SAN NICOLAS
333,45,2016-01-01,mañana,SAN NICOLAS
333,39,2016-01-01,tarde,SAN NICOLAS
333,30,2017-01-01,mañana,SAN NICOLAS
333,23,2017-01-01,tarde,SAN NICOLAS
332,4,2013-01-01,mañana,SAN NICOLAS
332,11,2013-01-01,tarde,SAN NICOLAS
332,37,2014-01-01,mañana,SAN NICOLAS
332,63,2014-01-01,tarde,SAN NICOLAS
332,30,2015-01-01,mañana,SAN NICOLAS
332,68,2015-01-01,tarde,SAN NICOLAS
332,11,2016-01-01,mañana,SAN NICOLAS
332,35,2016-01-01,tarde,SAN NICOLAS
332,24,2017-01-01,mañana,SAN NICOLAS
332,47,2017-01-01,tarde,SAN NICOLAS
329,75,2013-01-01,mañana,SAN NICOLAS
329,84,2013-01-01,tarde,SAN NICOLAS
329,72,2014-01-01,mañana,SAN NICOLAS
329,69,2014-01-01,tarde,SAN NICOLAS
329,68,2015-01-01,mañana,SAN NICOLAS
329,43,2015-01-01,tarde,SAN NICOLAS
329,23,2016-01-01,mañana,SAN NICOLAS
329,32,2016-01-01,tarde,SAN NICOLAS
329,74,2017-01-01,mañana,SAN NICOLAS
329,46,2017-01-01,tarde,SAN NICOLAS
329,33,2018-01-01,mañana,SAN NICOLAS
329,39,2018-01-01,tarde,SAN NICOLAS
504,23,2013-01-01,mañana,SAN NICOLAS
504,15,2013-01-01,tarde,SAN NICOLAS
504,42,2014-01-01,mañana,SAN NICOLAS
