centroide,cantidad_ciclistas,año,turno,X,Y,RECORRIDO,CRUCE,ÃREA,geometry
514,30,2013,mañana,-58.3633792924028,-34.6047921917198,R003,"GUEMES, MACACHA@MANSO JUANA",Macrocentro,POINT (-58.3633792924028 -34.6047921917198)
514,24,2013,tarde,-58.3633792924028,-34.6047921917198,R003,"GUEMES, MACACHA@MANSO JUANA",Macrocentro,POINT (-58.3633792924028 -34.6047921917198)
514,41,2014,mañana,-58.3633792924028,-34.6047921917198,R003,"GUEMES, MACACHA@MANSO JUANA",Macrocentro,POINT (-58.3633792924028 -34.6047921917198)
514,41,2014,tarde,-58.3633792924028,-34.6047921917198,R003,"GUEMES, MACACHA@MANSO JUANA",Macrocentro,POINT (-58.3633792924028 -34.6047921917198)
514,24,2015,mañana,-58.3633792924028,-34.6047921917198,R003,"GUEMES, MACACHA@MANSO JUANA",Macrocentro,POINT (-58.3633792924028 -34.6047921917198)
514,45,2015,tarde,-58.3633792924028,-34.6047921917198,R003,"GUEMES, MACACHA@MANSO JUANA",Macrocentro,POINT (-58.3633792924028 -34.6047921917198)
514,29,2016,mañana,-58.3633792924028,-34.6047921917198,R003,"GUEMES, MACACHA@MANSO JUANA",Macrocentro,POINT (-58.3633792924028 -34.6047921917198)
514,33,2016,tarde,-58.3633792924028,-34.6047921917198,R003,"GUEMES, MACACHA@MANSO JUANA",Macrocentro,POINT (-58.3633792924028 -34.6047921917198)
514,31,2017,mañana,-58.3633792924028,-34.6047921917198,R003,"GUEMES, MACACHA@MANSO JUANA",Macrocentro,POINT (-58.3633792924028 -34.6047921917198)
514,58,2017,tarde,-58.3633792924028,-34.6047921917198,R003,"GUEMES, MACACHA@MANSO JUANA",Macrocentro,POINT (-58.3633792924028 -34.6047921917198)
514,45,2018,mañana,-58.3633792924028,-34.6047921917198,R003,"GUEMES, MACACHA@MANSO JUANA",Macrocentro,POINT (-58.3633792924028 -34.6047921917198)
514,56,2018,tarde,-58.3633792924028,-34.6047921917198,R003,"GUEMES, MACACHA@MANSO JUANA",Macrocentro,POINT (-58.3633792924028 -34.6047921917198)
339,12,2013,mañana,-58.3609344908614,-34.6045766476103,R003,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",Macrocentro,POINT (-58.3609344908614 -34.6045766476103)
339,15,2013,tarde,-58.3609344908614,-34.6045766476103,R003,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",Macrocentro,POINT (-58.3609344908614 -34.6045766476103)
339,6,2014,mañana,-58.3609344908614,-34.6045766476103,R003,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",Macrocentro,POINT (-58.3609344908614 -34.6045766476103)
339,24,2014,tarde,-58.3609344908614,-34.6045766476103,R003,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",Macrocentro,POINT (-58.3609344908614 -34.6045766476103)
339,21,2015,mañana,-58.3609344908614,-34.6045766476103,R003,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",Macrocentro,POINT (-58.3609344908614 -34.6045766476103)
339,33,2015,tarde,-58.3609344908614,-34.6045766476103,R003,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",Macrocentro,POINT (-58.3609344908614 -34.6045766476103)
